salesOrder_hpSalesOrder,lineId,fromLine,customerLineId,lineStatus_code,hpPartNumber,hpPartDescription,customerPartNumber,quantity,quantityUnit,balanceQuantity,totalShippedQuantity,totalInvoicedQuantity,totalDeliveredQuantity,confirmedLineId,confirmedQuantity,confirmedReceiptDate,plannedReceiptDate,originalPlannedReceiptDate,salesPrice,salesPriceUnit,salesPriceCurrency,lineAmount,lineAmountCurrency,specialDealFlagSo,specialPriceIndicatorSo,specialPriceIndicatorPo,reasonForCancellation_code,carrierSo,otherCarrierSo,shippingPoint,storageLocation,termsOfDelivery,deliveryPlace,incotermsRevision,transitTime,endSupplier,gtsHold,hpPurchaseOrder,hpPoLineItem,soRequisitionNumber,soAckOutOrigin,soChangeInOrigin,customerNotesToHp,hpNotesToCustomer,hpBacklogNotes,simpleChangeProcessingInd,createdAt,createdBy,modifiedAt,modifiedBy
0005000010,000010,,000001,Awaiting Acknowledgement,L87523-001,Intel Ethernet Network Adapter I225-T1,HPM1-L87523-001,500.000,EA,500.000,0.000,0.000,0.000,,,,2020-02-12,2020-11-04,18.000,10,USD,900.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,0,,false,9500334295,10,10019761,NONEDI,MANHP,,,Backlog ref 0005000010-000010 reviewed 2020-11-04,false,2020-08-20T09:15:22Z,IDOC_ORDRSP,2020-11-04T06:02:10Z,IDOC_ORDRSP
0005000010,000020,,000002,Awaiting Acknowledgement,M14602-001,HP 512GB NVMe TLC SSD M.2 2280,HPM1-M14602-001,1000.000,EA,1000.000,0.000,0.000,0.000,,,,2020-02-12,2020-11-04,42.500,1,USD,42500.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,0,,false,9500334296,20,10019762,NONEDI,MANHP,,,,false,2020-08-20T09:15:22Z,IDOC_ORDRSP,2020-11-04T06:02:10Z,IDOC_ORDRSP
0102053322,000010,,000001,OPEN,M14602-001,HP 512GB NVMe TLC SSD M.2 2280,HPM1-M14602-001,1000.000,EA,1000.000,0.000,0.000,0.000,,,,2020-09-22,2020-09-22,42.500,1,USD,42500.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,2,0260003195,false,9500334302,10,10019764,NONEDI,MANHP,,Shirley test SO Header note,Backlog ref 0102053322-000010 reviewed 2020-09-23,false,2020-09-22T11:04:00Z,IDOC_ORDRSP,2020-09-23T08:31:45Z,habeeb.shaik
0102053322,000020,,000002,CONF,N22841-002,HP 16GB DDR5-4800 SODIMM Memory,CUST-N22841-002,250.000,EA,250.000,0.000,0.000,0.000,000020,250.000,2020-09-22,2020-09-22,2020-09-22,7.250,1,USD,1812.50,USD,false,false,,,,,2281,2001 - US B&S Warehouse Palo Alto CA,CIP - Carriage And Insurance Paid,Reynosa MX,2010,2,0260003195,false,9500334303,20,10019765,NONEDI,MANHP,,Shirley test SO Header note,,false,2020-09-22T11:04:00Z,IDOC_ORDRSP,2020-09-23T08:31:45Z,habeeb.shaik
0102053409,000010,,000001,OPEN,N22841-002,HP 16GB DDR5-4800 SODIMM Memory,CUST-N22841-002,250.000,EA,250.000,0.000,0.000,0.000,,,,2020-09-23,2020-09-23,7.250,1,USD,1812.50,USD,false,false,,,,,2281,2001 - US B&S Warehouse Palo Alto CA,CIP - Carriage And Insurance Paid,Reynosa MX,2010,4,0260003196,false,9500334309,10,10019767,NONEDI,MUHP,,3700011101 SO Header text,Backlog ref 0102053409-000010 reviewed 2020-09-23,false,2020-09-23T09:12:00Z,IDOC_ORDRSP,2020-09-23T09:12:00Z,IDOC_ORDRSP
0102053409,000020,,000002,AACK,P39118-001,HP Z Turbo Drive Heatsink Kit,HPM1-P39118-001,1200.000,EA,1200.000,0.000,0.000,0.000,,,,2020-09-23,2020-09-23,135.000,1,USD,162000.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Guadalajara MX,2010,4,0260003196,false,9500334310,20,10019768,NONEDI,MUHP,,3700011101 SO Header text,,false,2020-09-23T09:12:00Z,IDOC_ORDRSP,2020-09-23T09:12:00Z,IDOC_ORDRSP
0102053409,000030,,000003,CONF,Q45207-003,HP Thunderbolt 4 Dock G4 120W,CUST-Q45207-003,750.000,EA,750.000,0.000,0.000,0.000,000030,750.000,2020-09-23,2020-09-23,2020-09-23,89.900,1,USD,67425.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,4,0260003196,false,9500334311,30,10019769,NONEDI,MUHP,,3700011101 SO Header text,,false,2020-09-23T09:12:00Z,IDOC_ORDRSP,2020-09-23T09:12:00Z,IDOC_ORDRSP
0102053779,000010,,000001,OPEN,P39118-001,HP Z Turbo Drive Heatsink Kit,HPM1-P39118-001,1200.000,EA,1200.000,0.000,0.000,0.000,,,,2020-09-23,2020-09-24,135.000,1,USD,162000.00,USD,false,false,,,0100102760,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Guadalajara MX,2010,6,0260003197,false,9500334316,10,10019770,NONEDI,MANCUST,HDRCustomerNotesttoHP,Shirley test SO Header note,Backlog ref 0102053779-000010 reviewed 2020-09-24,false,2020-09-24T07:45:30Z,IDOC_ORDRSP,2020-09-24T07:45:30Z,IDOC_ORDRSP
0102053921,000010,,000001,CONF,Q45207-003,HP Thunderbolt 4 Dock G4 120W,CUST-Q45207-003,750.000,EA,750.000,0.000,0.000,0.000,000010,750.000,2020-09-24,2020-09-24,2020-09-24,89.900,1,USD,67425.00,USD,false,false,,,0100104145,,2281,2001 - US B&S Warehouse Palo Alto CA,DAP - Delivered At Place,Palo Alto CA US,2010,8,0260003198,false,9500334323,10,10019773,NONEDI,MUCUST,,3700011101 SO Header text,Backlog ref 0102053921-000010 reviewed 2020-09-26,false,2020-09-24T10:20:00Z,IDOC_ORDRSP,2020-09-26T14:07:12Z,IDOC_ORDRSP
0102053921,000020,,000002,CONF,R60934-001,Intel Xeon W5-2455X Processor,HPM1-R60934-001,2000.000,EA,2000.000,0.000,0.000,0.000,000020,2000.000,2020-09-24,2020-09-24,2020-09-24,1240.000,1,USD,2480000.00,USD,false,false,,,,,2281,2001 - US B&S Warehouse Palo Alto CA,FCA - Free Carrier,Sorocaba BR,2010,8,0260003198,false,9500334324,20,10019774,NONEDI,MUCUST,,3700011101 SO Header text,,false,2020-09-24T10:20:00Z,IDOC_ORDRSP,2020-09-26T14:07:12Z,IDOC_ORDRSP
