hpSalesOrder,customerOrder,customerOrderDate,soOrderDate,soRequisitionCreationDateTime,salesOrderStatus_code,salesOrderType_code,salesOrderOrigin_code,businessModel,businessUnit,blanketIndicator,contractNumber,contractDate,wbsProjectCode,wbsProjectCodeDescription,hpCompanyCode,hpCompanyDescription,hpSalesOrganization,hpPlant,hpBuyerCode,hpBuyerName,customerCode,customerDescription,shipTo,otherShipTo,billTo,payer,paymentTerms,lspAddress,customerNotesToHp,hpNotesToCustomer,simpleChangeProcessingInd,createdAt,createdBy,modifiedAt,modifiedBy
0005000010,test_zzip_case22,2020-02-12,2020-11-04,2020-08-20T09:15:22Z,,ZBLB,MANHP,HOI,0010~Personal Systems,false,,,W-1000007,,US31,,USCO,US55,0000100231,,0265000176,,0265000176 - Jabil Luxembourg Manufacturing,,0265000176 - Jabil Luxembourg Manufacturing,0265000176 - Jabil Luxembourg Manufacturing,NT45 - Net 45 days,,,,false,2020-08-20T09:15:22Z,IDOC_ORDRSP,2020-11-04T06:02:10Z,IDOC_ORDRSP
0102053322,Amy-092201,2020-09-22,2020-09-22,2020-09-22T11:04:00Z,,ZBLB,MANHP,DIRECT,0030~CS - Personal Systems,false,,,W-7000110,,US31,,USCC,US59,0000100455,,0260003196,,0260003196 - SMS INFOCOMM GLOBAL SERVICES,,0260003196 - SMS INFOCOMM GLOBAL SERVICES,0260003196 - SMS INFOCOMM GLOBAL SERVICES,NT45 - Net 45 days,,,Shirley test SO Header note,false,2020-09-22T11:04:00Z,IDOC_ORDRSP,2020-09-23T08:31:45Z,habeeb.shaik
0102053409,Fion-0923-Test2-1,2020-09-23,2020-09-23,2020-09-23T09:12:00Z,,ZBLB,MUHP,DIRECT,0010~Personal Systems,false,,,W-7000111,,US31,,USCC,US58,0000100781,,0260003199,,0260003199 - FOXCONN EUROPEAN MANUFACTURING,,0260003199 - FOXCONN EUROPEAN MANUFACTURING,0260003199 - FOXCONN EUROPEAN MANUFACTURING,NT20 - Net 20 days,,,3700011101 SO Header text,false,2020-09-23T09:12:00Z,IDOC_ORDRSP,2020-09-23T09:12:00Z,IDOC_ORDRSP
0102053779,BelindaCus-e2Mass02,2020-09-23,2020-09-24,2020-09-24T07:45:30Z,,ZBLB,MANCUST,DIRECT,0030~CS - Personal Systems,false,,,W-7000110,,US31,,USCC,US59,0000100781,,0260003196,,0260003196 - SMS INFOCOMM GLOBAL SERVICES,,0260003196 - SMS INFOCOMM GLOBAL SERVICES,0260003196 - SMS INFOCOMM GLOBAL SERVICES,NT45 - Net 45 days,,HDRCustomerNotesttoHP,Shirley test SO Header note,false,2020-09-24T07:45:30Z,IDOC_ORDRSP,2020-09-24T07:45:30Z,IDOC_ORDRSP
0102053921,Sophie0924112,2020-09-24,2020-09-24,2020-09-24T10:20:00Z,,ZBLB,MUCUST,DIRECT,0010~Personal Systems,false,,,W-7000111,,US31,,USCC,US58,0000100781,,0260003199,,0260003199 - FOXCONN EUROPEAN MANUFACTURING,,0260003199 - FOXCONN EUROPEAN MANUFACTURING,0260003199 - FOXCONN EUROPEAN MANUFACTURING,NT20 - Net 20 days,,,3700011101 SO Header text,false,2020-09-24T10:20:00Z,IDOC_ORDRSP,2020-09-26T14:07:12Z,IDOC_ORDRSP
0102055329,SOCH009-OM4-test,2020-09-28,2020-09-28,2020-09-28T08:00:00Z,,ZCBS,MANCUST,X-DOCK,0031~CS - Print,false,,,W-0000102,,US31,,USCO,US56,0000100112,,0260003195,,0260003195 - Flextronics International,,0260003195 - Flextronics International,0260003195 - Flextronics International,NT30 - Net 30 days,0100102760 - Cross Dock Hub Memphis TN,,US31 - US56 - USCO Cross Dock note,false,2020-09-28T08:00:00Z,IDOC_ORDRSP,2020-09-30T11:22:05Z,IDOC_ORDRSP
0102055341,Fion-0929-parallel1,2020-09-28,2020-09-29,2020-09-29T06:30:00Z,,ZCBS,MANHP,VMI,0010~Personal Systems,false,,,W-7000111,,US31,,USCC,US58,0000100781,,0260003199,,0260003199 - FOXCONN EUROPEAN MANUFACTURING,,0260003199 - FOXCONN EUROPEAN MANUFACTURING,0260003199 - FOXCONN EUROPEAN MANUFACTURING,NT20 - Net 20 days,0100104145 - VMI Hub Guadalajara MX,,3700011101 SO Header text,false,2020-09-29T06:30:00Z,IDOC_ORDRSP,2020-09-29T06:30:00Z,IDOC_ORDRSP
0102055571,haze test 0925,2020-09-29,2020-09-25,2020-09-25T13:10:00Z,,ZBLB,MANHP,DIRECT,0010~Personal Systems,false,,,W-7000114,,US31,,USCC,US58,0000100781,,0260003196,,0260003196 - SMS INFOCOMM GLOBAL SERVICES,,0260003196 - SMS INFOCOMM GLOBAL SERVICES,0260003196 - SMS INFOCOMM GLOBAL SERVICES,NT30 - Net 30 days,,,W-7000114 SO Header note,false,2020-09-25T13:10:00Z,IDOC_ORDRSP,2020-10-08T09:44:31Z,IDOC_ORDRSP
0102056872,DBS_BS_IBOB_2.4,2020-10-01,2020-09-25,2020-09-25T15:05:00Z,,ZBLB,MANHP,DIRECT,0010~Personal Systems,false,,,W-0000104,,US31,,USCO,US55,0000100112,,0260003194,,0260003194 - Hon Hai Precision Industry,,0260003194 - Hon Hai Precision Industry,0260003194 - Hon Hai Precision Industry,NT20 - Net 20 days,,,US31 - US55 - USCO header note,false,2020-09-25T15:05:00Z,IDOC_ORDRSP,2020-10-12T16:18:59Z,IDOC_ORDRSP
0102057079,Jean Test Case 6,2020-10-02,2020-10-02,2020-10-02T08:55:00Z,,ZBLB,MANHP,DIRECT,0010~Personal Systems,false,3000010101,2020-09-14,W-0000101,,US31,,USCO,US55,0000100112,,0265000176,,0265000176 - Jabil Luxembourg Manufacturing,,0265000176 - Jabil Luxembourg Manufacturing,0265000176 - Jabil Luxembourg Manufacturing,NT45 - Net 45 days,,,text,false,2020-10-02T08:55:00Z,IDOC_ORDRSP,2020-10-20T10:02:44Z,IDOC_ORDRSP
